נבדק ואושר,סוג נכס,מהות עסקה,מקור,"ת""ח",חלקה,גוש,תאריך עסקה,עיר,רחוב,מספר,כניסה,דירה,מחיר מוצהר,מחיר מוערך,שטח ברוטו,שטח נטו,מגרש,חדרים,מחיר למר,מחיר לחדר,גלריה,מרפסת,קומה,קומות,דירות בבנין,מעלית,חניה,מחסן,גג,חצר,שנת בניה,זכויות בניה,אחוזי בניה,תפקוד הבנין,מהות הזכות,תפקוד היחידה  ,שומה חלקים,,
לא,דירת מגורים,דירה בבית קומות,רשות,2,162,7069,25/01/2021,תל אביב -יפו,תדהר דוד,2,,2,2050000,2050000,73,73,0,3,28082,683333,0,,1,6,12,,0,0,0,130,2022,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,3,210,7047,25/01/2021,תל אביב -יפו,שד הבעשט,25,,50,1485000,1485000,47,47,0,2,31596,742500,0,,3,3,24,,0,0,0,0,1950,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,0,64,6213,25/01/2021,תל אביב -יפו,אבן גבירול,144,,18,3696324,3696324,63,63,0,3,58672,1232108,0,,6,8,50,,0,0,0,0,2021,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,2,85,7069,21/01/2021,תל אביב -יפו,קהלת ניו יורק,44,,2,2050000,2050000,71,71,0,3,28873,683333,0,,1,6,14,,0,0,0,40,2022,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,0,9,6882,20/01/2021,תל אביב -יפו,הצנחנים,13,,1,3518000,3518000,109,109,0,4,32275,879500,0,,6,25,122,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,22,9,6882,20/01/2021,תל אביב -יפו,הצנחנים,1,,22,2800000,2800000,67,67,0,3,41791,933333,0,,6,8,31,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,27,9,6882,19/01/2021,תל אביב -יפו,הצנחנים,1,,27,2650000,2650000,70,70,0,3,37857,883333,0,,7,8,32,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,2,9,6882,19/01/2021,תל אביב -יפו,הצנחנים,1,,2,3115300,3115300,109,109,0,4,28581,778825,0,,1,25,122,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,26,9,6882,18/01/2021,תל אביב -יפו,הצנחנים,1,,26,2562000,2562000,73,73,0,3,35096,854000,0,,5,25,122,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,19,9,6882,14/01/2021,תל אביב -יפו,הצנחנים,1,,19,3349000,3349000,109,109,0,4,30725,837250,0,,4,25,122,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,5,156,7069,12/01/2021,תל אביב -יפו,קהלת ניו יורק,48,,5,1690000,1690000,68,66,0,3,25606,563333,0,,2,5,10,,0,0,0,0,2008,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,18,54,7075,12/01/2021,תל אביב -יפו,סהרון,28,,18,750000,750000,59,62,0,3,12097,250000,0,,1,4,80,,0,0,0,0,1970,,,מגורים,בעלות,דירה בבית קומות,0.5,,
לא,דירת מגורים,דירה בבית קומות,רשות,11,61,6882,07/01/2021,תל אביב -יפו,הצנחנים,22,,11,1775000,1775000,80,80,0,4,22188,443750,0,,3,5,20,,0,0,0,0,1982,,,מגורים,בעלות כפופה לחכירה,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,0,46,6135,07/01/2021,תל אביב -יפו,שמחה,22,,1,1400000,1400000,54,56,0,3,25000,466667,0,,1,2,3,,0,0,0,0,1950,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,4,302,6135,06/01/2021,תל אביב -יפו,קריתי,8,,4,285714,285714,67,67,0,2,4264,142857,0,,2,2,4,,0,0,0,0,1970,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,8,177,7050,06/01/2021,תל אביב -יפו,קהלת קנדה,39,,8,1200000,1200000,42,42,0,2,28571,600000,0,,1,4,16,,0,0,0,0,1990,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,102,9,6882,04/01/2021,תל אביב -יפו,הצנחנים,1,,102,2580000,2580000,70,70,0,3,36857,860000,0,,20,29,125,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,9,147,7047,03/01/2021,תל אביב -יפו,שד ירושלים,132,,9,1720000,1720000,47,47,0,3,36596,573333,0,,2,4,16,,0,0,0,0,1970,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,0,310,6135,01/01/2021,תל אביב -יפו,דרך משה דיין,27,,7,1465000,1465000,68,1,0,3,1465000,488333,0,,4,4,16,,0,0,0,0,1970,,,מגורים,בעלות כפופה לחכירה,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,22,9,6882,31/12/2020,תל אביב -יפו,הצנחנים,1,,22,2600000,2600000,67,67,0,3,38806,866667,0,,6,8,30,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,28,9,6882,31/12/2020,תל אביב -יפו,הצנחנים,1,,28,2894000,2894000,83,83,0,3,34867,964667,0,,7,8,31,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,38,9,6882,31/12/2020,תל אביב -יפו,הצנחנים,1,,38,3248000,3248000,109,109,0,4,29798,812000,0,,7,25,125,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,33,9,6882,31/12/2020,תל אביב -יפו,הצנחנים,1,,33,3217000,3217000,109,109,0,4,29514,804250,0,,6,25,125,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,52,8,7259,31/12/2020,תל אביב -יפו,תל אביב -י - ללא רחו,50,,52,10550000,10550000,194,194,0,5,54381,2110000,0,,8,8,20,,0,0,0,0,2022,,,מגורים,בעלות כפופה לחכירה,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,0,42,6919,31/12/2020,תל אביב -יפו,סמ שפר,7,,1,2780000,2780000,55,55,0,2,50545,1390000,0,,1,3,16,,0,0,0,0,2017,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,23,9,6882,30/12/2020,תל אביב -יפו,הצנחנים,1,,23,3131000,3131000,109,109,0,4,28725,782750,0,,4,25,125,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,68,9,6882,30/12/2020,תל אביב -יפו,הצנחנים,1,,68,3434500,3434500,109,109,0,4,31509,858625,0,,13,25,125,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,40,9,6882,30/12/2020,תל אביב -יפו,הצנחנים,1,,40,3784940,3784940,120,120,0,5,31541,756988,0,,8,25,122,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,28,9,6882,30/12/2020,תל אביב -יפו,הצנחנים,1,,28,2838000,2838000,82,82,0,3,34610,946000,0,,7,8,32,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
