נבדק ואושר,סוג נכס,מהות עסקה,מקור,"ת""ח",חלקה,גוש,תאריך עסקה,עיר,רחוב,מספר,כניסה,דירה,מחיר מוצהר,מחיר מוערך,שטח ברוטו,שטח נטו,מגרש,חדרים,מחיר למר,מחיר לחדר,גלריה,מרפסת,קומה,קומות,דירות בבנין,מעלית,חניה,מחסן,גג,חצר,שנת בניה,זכויות בניה,אחוזי בניה,תפקוד הבנין,מהות הזכות,תפקוד היחידה  ,שומה חלקים
לא,דירת מגורים,דירה בבית קומות,רשות,0,3,6979,27/01/2021,תל אביב -יפו,יאיר,53,,4,"1,560,000","1,560,000",66,62,0,4,"25,161","390,000",0,,1,3,5,,0,0,0,0,1970,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,2,162,7069,25/01/2021,תל אביב -יפו,תדהר דוד,2,,2,"2,050,000","2,050,000",73,73,0,3,"28,082","683,333",0,,1,6,12,,0,0,0,130,2022,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,3,210,7047,25/01/2021,תל אביב -יפו,שד הבעשט,25,,50,"1,485,000","1,485,000",47,47,0,2,"31,596","742,500",0,,3,3,24,,0,0,0,0,1950,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,0,64,6213,25/01/2021,תל אביב -יפו,אבן גבירול,144,,18,"3,696,324","3,696,324",63,63,0,3,"58,672","1,232,108",0,,6,8,50,,0,0,0,0,2021,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,2,85,7069,21/01/2021,תל אביב -יפו,קהלת ניו יורק,44,,2,"2,050,000","2,050,000",71,71,0,3,"28,873","683,333",0,,1,6,14,,0,0,0,40,2022,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,0,9,6882,20/01/2021,תל אביב -יפו,הצנחנים,13,,1,"3,518,000","3,518,000",109,109,0,4,"32,275","879,500",0,,6,25,122,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,22,9,6882,20/01/2021,תל אביב -יפו,הצנחנים,1,,22,"2,800,000","2,800,000",67,67,0,3,"41,791","933,333",0,,6,8,31,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,27,9,6882,19/01/2021,תל אביב -יפו,הצנחנים,1,,27,"2,650,000","2,650,000",70,70,0,3,"37,857","883,333",0,,7,8,32,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,2,9,6882,19/01/2021,תל אביב -יפו,הצנחנים,1,,2,"3,115,300","3,115,300",109,109,0,4,"28,581","778,825",0,,1,25,122,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,26,9,6882,18/01/2021,תל אביב -יפו,הצנחנים,1,,26,"2,562,000","2,562,000",73,73,0,3,"35,096","854,000",0,,5,25,122,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
