OBJECTID,AreaSQKM,CITY,CITYCODE,MUNITYPE,DISTRICT,MUNICIPAL,MUNICODE,Shape_Length,Shape_Area,ACC_INDEX,SUMACCIDEN,INJTOTAL,DEAD,SEVER_INJ,SLIGH_INJ,INJ0_19,INJ20_64,INJ65_,PEDESTRINJ,TOTDRIVERS,VEHICLE,BICYCLE,MOTORCYCLE,PRIVATE,TRUCK,YEARMONTH
1,1.891241534,אבו גוש,472,מועצה מקומית,ירושלים,אבו גוש,472,10069.40878,1891241.534,61.86412358,117,146,0,4,142,25,96,15,19,203,203,6,14,142,7,202012
2,6.695521246,אבו סנאן,473,מועצה מקומית,צפון,אבו סנאן,473,20575.41264,6695521.246,43.76059596,293,541,1,11,529,140,373,24,34,501,501,12,16,393,10,202012
3,8.265593603,אבן יהודה,182,מועצה מקומית,מרכז,אבן יהודה,182,17330.65743,8265593.603,33.27044774,275,361,3,13,345,56,259,39,40,530,530,8,35,399,16,202012
4,26.02828628,אום אל פחם,2710,עירייה,חיפה,אום אל פחם,2710,44152.45151,26028286.28,41.99277618,1093,1788,5,44,1739,494,1193,61,201,1850,1850,13,80,1294,62,202012
5,10.37952453,אופקים,31,עירייה,דרום,אופקים,31,14685.33823,10379524.53,31.02261563,322,416,3,15,398,87,280,44,66,526,526,28,10,355,14,202012
6,6.663640016,אור יהודה,2400,עירייה,תל אביב,אור יהודה,2400,15178.69253,6663640.016,163.2741261,1088,1334,7,47,1280,170,995,129,183,1931,1931,49,228,1239,64,202012
7,5.546007116,אור עקיבא,1020,עירייה,חיפה,אור עקיבא,1020,13757.48224,5546007.116,76.45139848,424,533,2,26,505,95,356,66,82,719,719,54,19,501,23,202012
8,2.21627128,אזור,565,מועצה מקומית,תל אביב,אזור,565,8650.436299,2216271.28,137.618532,305,358,2,11,345,43,276,29,45,517,517,17,82,302,14,202012
9,100.6570827,אילת,2600,עירייה,דרום,אילת,2600,92453.00237,100657082.7,14.05762974,1415,1753,5,51,1697,298,1224,151,275,2391,2391,221,289,1230,41,202012
10,9.104624169,אכסאל,478,מועצה מקומית,צפון,אכסאל,478,15949.09368,9104624.169,25.81105992,235,360,0,21,339,89,253,16,41,398,398,6,12,280,14,202012
11,0.42537274,ואדי חמאם,993,מועצה אזורית,צפון,אל בטוף,5565,5128.546906,425372.7396,32.91231125,14,23,0,0,23,10,13,0,2,19,19,0,0,16,0,202012
12,1.330151189,עוזיר,528,מועצה אזורית,צפון,אל בטוף,5565,7098.893466,1330151.189,14.28409052,19,24,1,4,19,10,14,0,7,28,28,1,0,18,1,202012
13,0.378445016,רומאנה,539,מועצה אזורית,צפון,אל בטוף,5565,3178.454393,378445.0156,13.21195892,5,6,0,1,5,0,6,0,2,9,9,0,1,6,0,202012
14,1.716485694,רמת אלהייב,997,מועצה אזורית,צפון,אל בטוף,5565,8707.687191,1716485.694,12.23429946,21,30,0,0,30,8,20,2,3,35,35,1,0,26,1,202012
15,6.643532243,אום בטין,1358,מועצה אזורית,דרום,אל קסום,5569,11095.42177,6643532.243,8.278728542,55,102,3,4,95,17,72,9,5,102,102,2,2,66,4,202012
16,3.070992927,אל סייד,1359,מועצה אזורית,דרום,אל קסום,5569,9372.522404,3070992.927,4.233158561,13,15,2,1,12,6,8,1,5,20,20,1,0,13,2,202012
17,0.915208946,דריג'את,1349,מועצה אזורית,דרום,אל קסום,5569,4107.988607,915208.9459,10.92646662,10,26,0,1,25,5,21,0,2,14,14,0,0,8,1,202012
18,11.06761144,סעוה,1360,מועצה אזורית,דרום,אל קסום,5569,18199.89217,11067611.44,0.451768661,5,11,0,3,8,2,9,0,1,8,8,0,0,6,0,202012
19,5.936448786,מכחול,1343,מועצה אזורית,דרום,אל קסום,5569,21449.58715,5936448.786,0.336901753,2,2,0,1,1,0,2,0,0,2,2,0,0,1,0,202012
20,2.054116918,תראבין א-צאנע,1346,מועצה אזורית,דרום,אל קסום,5569,9734.852839,2054116.918,3.407790442,7,12,3,1,8,5,7,0,3,12,12,0,0,7,1,202012
21,6.867463379,אביאל,679,מועצה אזורית,חיפה,אלונה,5545,18136.76308,6867463.379,2.47544094,17,41,5,5,31,12,25,3,0,27,27,2,2,15,1,202012
22,6.48290461,גבעת נילי,360,מועצה אזורית,חיפה,אלונה,5545,18017.83602,6482904.61,6.7870812,44,96,1,2,93,20,73,3,1,98,98,0,1,72,8,202012
23,13.6771039,עמיקם,773,מועצה אזורית,חיפה,אלונה,5545,21303.31359,13677103.9,0.804263833,11,18,0,2,16,1,17,0,0,17,17,1,3,9,1,202012
24,1.689103245,אליכין,41,מועצה מקומית,מרכז,אליכין,41,7091.603485,1689103.245,20.12902414,34,40,0,3,37,8,24,7,7,55,55,2,3,34,2,202012
25,3.487583554,אלעד,1309,עירייה,מרכז,אלעד,1309,10813.4306,3487583.554,113.5456668,396,512,1,12,499,155,315,21,106,677,677,43,57,414,21,202012
26,12.08341931,אעבלין,529,מועצה מקומית,צפון,אעבלין,529,22546.56467,12083419.31,38.89627496,470,917,6,19,892,181,687,46,31,858,858,2,10,657,21,202012
27,63.89510108,אשדוד,70,עירייה,דרום,אשדוד,70,50126.87361,63895101.08,96.22020932,6148,8404,20,123,8261,1321,6113,788,961,11508,11508,415,537,8383,445,202012
28,0.567094982,אבשלום,1311,מועצה אזורית,דרום,אשכול,5538,3668.441757,567094.9823,3.52674607,2,4,0,0,4,2,2,0,0,3,3,0,0,2,0,202012
29,21.21218306,אורים,403,מועצה אזורית,דרום,אשכול,5538,32909.64517,21212183.06,0.989997114,21,40,0,6,34,7,30,3,1,37,37,0,2,18,4,202012
30,11.56191138,בארי,399,מועצה אזורית,דרום,אשכול,5538,22171.35037,11561911.38,1.470345122,17,25,1,2,22,3,19,3,0,33,33,1,3,22,1,202012
31,1.517482817,בני נצרים,1363,מועצה אזורית,דרום,אשכול,5538,6233.328901,1517482.817,1.31797209,2,2,0,0,2,2,0,0,1,2,2,0,0,1,0,202012
32,2.961292255,דקל,1241,מועצה אזורית,דרום,אשכול,5538,6950.757439,2961292.255,1.350761646,4,6,0,0,6,3,2,1,0,6,6,0,0,3,0,202012
33,4.607755907,ישע,916,מועצה אזורית,דרום,אשכול,5538,10247.64292,4607755.907,3.038355391,14,21,1,1,19,1,17,3,0,27,27,0,0,18,4,202012
34,3.487288527,יתד,1227,מועצה אזורית,דרום,אשכול,5538,7483.261917,3487288.527,0.860267218,3,3,0,1,2,0,2,1,0,3,3,0,0,2,0,202012
35,15.17959126,כיסופים,840,מועצה אזורית,דרום,אשכול,5538,32497.14791,15179591.26,0.329389633,5,8,1,4,3,1,6,1,0,8,8,0,0,3,5,202012
36,6.621308557,כרם שלום,1085,מועצה אזורית,דרום,אשכול,5538,10741.07501,6621308.557,0.906165292,6,7,0,0,7,2,3,1,3,7,7,0,0,1,1,202012
37,4.401596679,מבטחים,829,מועצה אזורית,דרום,אשכול,5538,9591.231033,4401596.679,1.135951421,5,6,0,0,6,1,4,1,1,9,9,0,0,7,1,202012
38,7.13292074,מגן,695,מועצה אזורית,דרום,אשכול,5538,16180.76913,7132920.74,1.261755223,9,10,0,0,10,2,7,1,0,13,13,1,0,6,2,202012
39,0.960777488,נווה,1366,מועצה אזורית,דרום,אשכול,5538,4239.995099,960777.4879,1.040823721,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,202012
40,5.994871577,ניר יצחק,402,מועצה אזורית,דרום,אשכול,5538,10721.4022,5994871.577,0.333618489,2,3,0,1,2,0,2,1,0,3,3,0,0,3,0,202012
41,17.36147747,ניר עוז,69,מועצה אזורית,דרום,אשכול,5538,21276.16584,17361477.47,0.172796354,3,3,0,0,3,0,3,0,1,3,3,0,0,2,0,202012
42,24.39748128,נירים,602,מועצה אזורית,דרום,אשכול,5538,34861.0261,24397481.28,0.245927025,6,8,1,0,7,1,6,1,0,11,11,0,0,7,1,202012
43,3.227506883,עין הבשור,1240,מועצה אזורית,דרום,אשכול,5538,8637.25399,3227506.883,1.549183373,5,7,0,0,7,1,3,2,0,9,9,0,0,6,1,202012
44,4.127106302,עמיעוז,318,מועצה אזורית,דרום,אשכול,5538,8607.880577,4127106.302,1.211502596,5,6,0,2,4,0,5,0,0,9,9,0,0,5,2,202012
45,3.072210047,פרי גן,1231,מועצה אזורית,דרום,אשכול,5538,7050.768054,3072210.047,0.650997155,2,2,0,0,2,0,1,1,0,2,2,0,1,1,0,202012
46,6.583004057,צאלים,413,מועצה אזורית,דרום,אשכול,5538,14089.9606,6583004.057,2.430501312,16,18,0,0,18,2,14,2,0,20,20,0,3,10,0,202012
47,14.30958409,רעים,713,מועצה אזורית,דרום,אשכול,5538,20810.76567,14309584.09,1.257898195,18,33,0,0,33,6,24,3,0,26,26,0,3,17,3,202012
48,2.392588192,שדה ניצן,1058,מועצה אזורית,דרום,אשכול,5538,6989.05707,2392588.192,0.417957425,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,202012
49,3.756900507,שדי אברהם,1223,מועצה אזורית,דרום,אשכול,5538,7884.219885,3756900.507,0.266176865,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,202012
50,527.4995117,שטח כללי - אשכול,5538,מועצה אזורית,דרום,אשכול,5538,386201.2802,527499511.7,0.16113759,85,132,5,13,114,10,112,5,0,151,151,2,4,81,26,202012
51,1.07513681,שלומית,1364,מועצה אזורית,דרום,אשכול,5538,4781.603806,1075136.81,1.860228374,2,2,0,2,0,1,1,0,1,2,2,0,0,2,0,202012
52,5.858431134,תלמי אליהו,1051,מועצה אזורית,דרום,אשכול,5538,11242.69313,5858431.134,0.853470816,5,7,0,0,7,1,3,3,0,9,9,1,1,5,0,202012
53,52.31802157,אשקלון,7100,עירייה,דרום,אשקלון,7100,42463.30198,52318021.57,105.2600965,5507,7680,23,113,7544,1335,5534,670,736,10297,10297,301,382,7641,271,202012
54,9.180717571,באקה אל גרבייה (באקה אל ררבי,6000,עירייה,חיפה,באקה אל גרבייה (באקה אל ררבי,6000,17468.96296,9180717.571,87.357006,802,1264,3,31,1230,360,855,31,104,1411,1411,61,43,1004,33,202012
55,3.48554019,אביגדור,819,מועצה אזורית,דרום,באר טוביה,5533,9497.654489,3485540.19,4.303493629,15,24,1,0,23,4,17,2,0,28,28,0,2,18,0,202012
56,2.577255887,אורות,2012,מועצה אזורית,דרום,באר טוביה,5533,8679.510016,2577255.887,4.65611508,12,21,1,1,19,3,17,1,1,22,22,1,0,15,2,202012
57,0.089924597,אחווה,1157,מועצה אזורית,דרום,באר טוביה,5533,1324.992103,89924.59696,66.7225676,6,10,0,0,10,0,9,1,0,11,11,0,0,9,0,202012
58,3.956225127,אמונים,772,מועצה אזורית,דרום,באר טוביה,5533,22205.29863,3956225.127,28.56258084,113,169,1,1,167,21,143,4,1,230,230,2,6,180,10,202012
59,5.888772284,באר טוביה,155,מועצה אזורית,דרום,באר טוביה,5533,14859.38886,5888772.284,12.56628656,74,86,0,0,86,7,64,9,10,128,128,1,1,85,13,202012
60,5.651706867,ביצרון,234,מועצה אזורית,דרום,באר טוביה,5533,13940.48111,5651706.867,7.431383296,42,60,1,2,57,7,45,6,2,84,84,1,3,60,2,202012
61,4.440785693,בית עזרא,756,מועצה אזורית,דרום,באר טוביה,5533,11535.9665,4440785.693,38.50669945,171,283,1,6,276,49,221,12,0,363,363,2,6,287,15,202012
62,3.591416491,גבעתי,793,מועצה אזורית,דרום,באר טוביה,5533,10332.56139,3591416.491,4.455066696,16,20,0,0,20,2,18,0,2,26,26,0,2,20,1,202012
63,4.44315825,חצב,700,מועצה אזורית,דרום,באר טוביה,5533,19486.22054,4443158.25,5.401563179,24,32,0,0,32,1,28,3,4,38,38,0,3,26,1,202012
64,4.659318575,חצור-אשדוד,406,מועצה אזורית,דרום,באר טוביה,5533,19348.79495,4659318.575,1.931612929,9,12,0,0,12,0,12,0,0,16,16,0,1,11,1,202012
65,4.639445306,ינון,2011,מועצה אזורית,דרום,באר טוביה,5533,16827.01967,4639445.306,7.112919287,33,41,2,1,38,2,36,3,5,58,58,0,2,43,1,202012
66,3.072903561,כפר אחים,690,מועצה אזורית,דרום,באר טוביה,5533,13570.26148,3072903.561,3.905101401,12,22,0,0,22,2,19,0,1,25,25,0,1,20,0,202012
67,6.474777053,כפר ורבורג,320,מועצה אזורית,דרום,באר טוביה,5533,14349.84209,6474777.053,5.251146058,34,54,0,7,47,9,41,3,3,63,63,0,3,45,2,202012
68,2.208395588,נווה מבטח,827,מועצה אזורית,דרום,באר טוביה,5533,6263.84712,2208395.588,1.35845227,3,4,0,0,4,0,4,0,0,5,5,0,1,2,0,202012
69,4.165174835,ניר בנים,553,מועצה אזורית,דרום,באר טוביה,5533,10169.87718,4165174.835,3.121117483,13,21,0,0,21,4,14,3,0,22,22,0,3,18,0,202012
70,0.137777588,עזר,1149,מועצה אזורית,דרום,באר טוביה,5533,1757.754332,137777.588,29.03229806,4,4,0,0,4,1,3,0,0,6,6,0,1,5,0,202012
71,4.884214639,עזריקם,817,מועצה אזורית,דרום,באר טוביה,5533,18965.6397,4884214.639,13.10343724,64,91,0,1,90,10,71,7,3,120,120,0,2,85,6,202012
72,4.101036822,ערוגות,593,מועצה אזורית,דרום,באר טוביה,5533,14516.99518,4101036.822,26.090963,107,169,2,4,163,15,139,13,4,226,226,1,3,172,11,202012
73,4.586579085,שדה עוזיהו,739,מועצה אזורית,דרום,באר טוביה,5533,10811.23104,4586579.085,62.13781442,285,436,3,7,426,54,345,26,5,597,597,5,17,479,31,202012
74,43.9864379,שטח כללי - באר טוביה,5533,מועצה אזורית,דרום,באר טוביה,5533,150322.343,43986437.9,7.138563953,314,454,0,8,446,51,358,41,15,618,618,4,19,463,41,202012
75,3.935149123,שתולים,763,מועצה אזורית,דרום,באר טוביה,5533,10521.20188,3935149.123,6.09887942,24,29,0,1,28,6,22,1,2,45,45,2,2,29,1,202012
76,3.494403769,תימורים,163,מועצה אזורית,דרום,באר טוביה,5533,16047.34279,3494403.769,8.298983722,29,51,1,0,50,11,35,4,5,54,54,0,0,40,6,202012
77,3.761363112,תלמי יחיאל,727,מועצה אזורית,דרום,באר טוביה,5533,13380.47745,3761363.112,0.265861064,1,1,0,0,1,0,1,0,0,2,2,0,0,0,0,202012
78,9.461892443,באר יעקב,2530,מועצה מקומית,מרכז,באר יעקב,2530,17969.21923,9461892.443,59.29046472,561,746,1,19,726,133,546,51,67,1065,1065,17,76,771,35,202012
79,117.3984565,באר שבע,9000,עירייה,דרום,באר שבע,9000,55936.00486,117398456.5,65.52897058,7693,10917,40,212,10665,1464,8153,1182,988,13898,13898,237,429,9696,314,202012
80,0.285436632,דחי,475,מועצה אזורית,צפון,בוסתאן אל מרג,5566,4297.554901,285436.6319,3.503404568,1,1,0,0,1,0,1,0,0,2,2,0,0,1,0,202012
81,4.037093276,כפר מצר,512,מועצה אזורית,צפון,בוסתאן אל מרג,5566,10530.91413,4037093.276,3.71554457,15,22,0,2,20,6,16,0,1,25,25,2,0,17,1,202012
82,2.595644415,נין,523,מועצה אזורית,צפון,בוסתאן אל מרג,5566,8113.710637,2595644.415,40.83764302,106,224,0,4,220,54,166,3,1,225,225,0,2,188,12,202012
83,2.085608944,סולם,526,מועצה אזורית,צפון,בוסתאן אל מרג,5566,8443.998514,2085608.944,2.876857629,6,8,0,0,8,2,5,1,1,8,8,0,0,6,0,202012
84,7.15969868,בועיינה - נוג'ידאת,482,מועצה מקומית,צפון,בועיינה - נוגידאת,482,16845.48901,7159698.68,13.82739755,99,161,1,7,153,38,118,5,17,157,157,1,3,117,4,202012
85,19.54013038,בוקעאתא,4001,מועצה מקומית,צפון,בוקעאתא,4001,25183.46952,19540130.38,3.531194452,69,118,1,6,111,20,87,10,9,99,99,3,0,68,1,202012
86,5.828102133,ביר אל מכסור,998,מועצה מקומית,צפון,ביר אל מכסור,998,21761.91756,5828102.133,17.50140915,102,158,0,7,151,31,125,2,12,174,174,4,2,129,8,202012
87,7.199072698,בית ג'ן,480,מועצה מקומית,צפון,בית גן,480,17571.47584,7199072.698,29.0315168,209,336,3,6,327,66,255,15,20,300,300,1,7,235,2,202012
88,1.419709617,בית דגן,466,מועצה מקומית,מרכז,בית דגן,466,6676.810544,1419709.617,114.8122109,163,208,0,3,205,23,164,16,13,298,298,7,32,194,12,202012
89,7.386715702,בית שאן,9200,עירייה,צפון,בית שאן,9200,13946.16673,7386715.702,55.91118119,413,536,1,13,522,88,383,53,52,706,706,31,27,482,20,202012
90,38.28993007,בית שמש,2610,עירייה,ירושלים,בית שמש,2610,49318.12804,38289930.07,30.60856987,1172,1498,8,65,1425,307,951,111,292,1890,1890,49,96,1164,62,202012
91,7.3484852,בני ברק,6100,עירייה,תל אביב,בני ברק,6100,12598.81167,7348485.2,491.9381208,3615,4169,11,138,4020,791,2715,432,952,5825,5825,331,787,2963,227,202012
92,0.817193499,"בני עי""ש",1066,מועצה מקומית,מרכז,"בני עי""ש",1066,6232.145234,817193.4989,107.685634,88,112,1,3,108,11,85,14,16,154,154,2,5,113,7,202012
93,5.622781629,בית-קמה,598,מועצה אזורית,דרום,בני שמעון,5541,13556.25412,5622781.629,12.09365835,68,111,0,2,109,15,90,4,1,129,129,0,4,89,7,202012
94,2.322674745,ברוש,2060,מועצה אזורית,דרום,בני שמעון,5541,8043.32455,2322674.745,16.36044826,38,90,3,6,81,16,68,6,1,75,75,0,0,56,6,202012
95,0.64334813,גבעות בר,1344,מועצה אזורית,דרום,בני שמעון,5541,4115.696959,643348.1302,1.554368394,1,1,0,0,1,0,0,1,0,2,2,0,0,2,0,202012
96,8.499218408,דבירה,849,מועצה אזורית,דרום,בני שמעון,5541,13353.87775,8499218.408,1.882526043,16,20,0,0,20,2,16,2,3,23,23,0,3,15,2,202012
97,8.036298025,חצרים,397,מועצה אזורית,דרום,בני שמעון,5541,15187.5345,8036298.025,1.617660266,13,15,1,4,10,0,13,2,2,18,18,0,4,9,1,202012
98,6.350507292,כרמים,1198,מועצה אזורית,דרום,בני שמעון,5541,17860.85657,6350507.292,2.362016027,15,20,0,2,18,1,17,1,0,24,24,0,1,15,0,202012
99,8.472357182,להב,2023,מועצה אזורית,דרום,בני שמעון,5541,11760.43505,8472357.182,2.360618134,20,30,0,3,27,3,26,1,0,27,27,0,6,13,0,202012
100,8.262266088,משמר הנגב,395,מועצה אזורית,דרום,בני שמעון,5541,11954.95967,8262266.088,3.751997293,31,60,2,2,56,13,43,3,0,59,59,1,0,37,3,202012
101,7.712984795,נבטים,396,מועצה אזורית,דרום,בני שמעון,5541,13723.30108,7712984.795,6.871529169,53,96,2,2,92,15,76,4,5,88,88,1,0,49,7,202012
102,6.848473618,שובל,394,מועצה אזורית,דרום,בני שמעון,5541,12904.0945,6848473.618,2.482304955,17,45,2,3,40,8,34,3,0,37,37,0,0,26,4,202012
103,6.71220246,שומריה,1265,מועצה אזורית,דרום,בני שמעון,5541,11639.72731,6712202.46,0.446947186,3,8,0,1,7,1,7,0,0,5,5,0,0,4,0,202012
104,294.6173814,שטח כללי - בני שמעון,5541,מועצה אזורית,דרום,בני שמעון,5541,310074.9774,294617381.4,3.00389609,885,1744,33,91,1620,274,1362,88,25,1752,1752,10,22,1278,108,202012
105,2.827947231,תאשור,2062,מועצה אזורית,דרום,בני שמעון,5541,7594.128311,2827947.231,1.41445355,4,5,0,1,4,0,4,1,0,7,7,0,2,3,0,202012
106,3.801201644,תדהר,2061,מועצה אזורית,דרום,בני שמעון,5541,10330.91603,3801201.644,5.787643503,22,46,1,6,39,10,35,1,3,36,36,0,1,31,0,202012
107,24.39679163,בנימינה - גבעת עדה,9800,מועצה מקומית,חיפה,בנימינה - גבעת עדה,9800,33370.8782,24396791.63,16.10867552,393,574,2,19,553,90,438,39,32,712,712,22,35,531,19,202012
108,5.603483294,"בסמ""ה",1326,מועצה מקומית,חיפה,"בסמ""ה",1326,21808.03638,5603483.294,117.9623397,661,1038,2,5,1031,167,811,53,39,1195,1195,4,15,860,52,202012
109,3.92965186,בסמת טבעון,944,מועצה מקומית,צפון,בסמת טבעון,944,16616.54699,3929651.86,16.54090548,65,87,1,2,84,17,63,7,6,103,103,2,4,71,3,202012
110,3.458480675,בענה,483,מועצה מקומית,צפון,בענה,483,9921.238984,3458480.675,57.82886151,200,392,0,6,386,106,270,15,29,347,347,3,7,272,7,202012
111,10.93252647,בית אלעזרי,562,מועצה אזורית,מרכז,ברנר,5528,15083.3776,10932526.47,6.219971221,68,108,3,3,102,12,78,17,3,128,128,1,11,86,3,202012
112,3.28886737,בניה,685,מועצה אזורית,מרכז,ברנר,5528,8300.997749,3288867.37,1.216224174,4,4,0,0,4,0,4,0,0,8,8,0,0,7,0,202012
113,12.57476262,גבעת ברנר,147,מועצה אזורית,מרכז,ברנר,5528,21240.14677,12574762.62,14.79153171,186,265,2,4,259,32,205,27,7,362,362,6,23,290,12,202012
114,0.345913395,גיבתון,196,מועצה אזורית,מרכז,ברנר,5528,3473.066353,345913.395,5.781794024,2,5,0,0,5,0,5,0,0,4,4,0,0,3,0,202012
115,3.494668155,גן שלמה,144,מועצה אזורית,מרכז,ברנר,5528,12146.08783,3494668.155,8.012205668,28,44,0,1,43,10,29,5,1,57,57,0,4,44,1,202012
116,6.281797638,קדרון,615,מועצה אזורית,מרכז,ברנר,5528,14602.51892,6281797.638,2.547041615,16,21,1,1,19,1,15,2,0,31,31,0,3,16,4,202012
117,9.410690993,בת ים,6200,עירייה,תל אביב,בת ים,6200,15594.55467,9410690.993,378.2931564,3560,4237,12,140,4085,557,2773,749,718,5874,5874,287,810,3307,111,202012
118,9.092770383,ג'דיידה - מכר,1292,מועצה מקומית,צפון,גדיידה - מכר,1292,17953.25176,9092770.383,118.2257942,1075,2264,7,15,2242,505,1690,64,64,2030,2030,39,47,1596,52,202012
119,3.997983241,ג'וליס,485,מועצה מקומית,צפון,גוליס,485,11448.09072,3997983.241,21.26071943,85,141,0,3,138,43,93,4,10,135,135,6,4,107,2,202012
120,1.893256339,ג'לג'וליה,627,מועצה מקומית,מרכז,גלגוליה,627,11982.74247,1893256.339,37.50152504,71,129,1,6,122,20,100,9,4,141,141,2,6,107,9,202012
121,2.022854569,ג'סר אל-זרקא,541,מועצה מקומית,חיפה,גסר אל-זרקא,541,7304.568671,2022854.569,74.15263673,150,192,3,6,183,68,109,10,71,224,224,26,2,129,10,202012
122,7.462887612,ג'ת,628,מועצה מקומית,חיפה,גת,628,16781.49044,7462887.612,47.70271489,356,664,3,20,641,174,463,21,22,633,633,11,11,478,28,202012
123,2.575042786,גבעת שמואל,681,עירייה,מרכז,גבעת שמואל,681,10000.51922,2575042.786,196.8899324,507,608,3,13,592,72,464,57,72,903,903,24,109,613,28,202012
124,3.242375637,גבעתיים,6300,עירייה,תל אביב,גבעתיים,6300,9869.672848,3242375.637,352.2108873,1142,1285,7,54,1224,110,936,204,192,1938,1938,108,433,1035,38,202012
125,11.43306392,גדרה,2550,מועצה מקומית,מרכז,גדרה,2550,19965.94855,11433063.92,56.59025479,647,884,4,14,866,156,638,68,75,1274,1274,29,51,974,59,202012
126,2.176454961,גן הדרום,1072,מועצה אזורית,מרכז,גדרות,5532,6872.213004,2176454.961,10.10818068,22,33,0,0,33,5,24,3,2,42,42,0,4,28,2,202012
127,2.261910512,כפר אביב,857,מועצה אזורית,מרכז,גדרות,5532,7067.164004,2261910.512,3.978937253,9,15,0,2,13,4,9,2,1,17,17,0,0,14,2,202012
128,2.140366382,כפר מרדכי,764,מועצה אזורית,מרכז,גדרות,5532,6000.766715,2140366.382,0.46720973,1,1,0,0,1,0,1,0,0,2,2,0,0,2,0,202012
129,2.223686503,מישר,731,מועצה אזורית,מרכז,גדרות,5532,6224.488097,2223686.503,10.79288828,24,48,3,1,44,7,36,5,0,49,49,1,0,41,3,202012
130,1.551200466,משגב דב,765,מועצה אזורית,מרכז,גדרות,5532,4960.230247,1551200.466,8.380606044,13,25,0,0,25,2,23,0,1,24,24,0,0,18,1,202012
131,0.564596836,עשרת,591,מועצה אזורית,מרכז,גדרות,5532,2852.029005,564596.836,17.71175352,10,15,0,0,15,5,8,1,1,17,17,0,0,10,1,202012
132,1.975997527,שדמה,555,מועצה אזורית,מרכז,גדרות,5532,6256.04383,1975997.527,6.072882094,12,14,0,1,13,2,12,0,1,21,21,1,0,17,0,202012
133,0.825112184,שטח כללי - גדרות,5532,מועצה אזורית,מרכז,גדרות,5532,5137.921909,825112.1839,7.271738458,6,6,0,0,6,0,6,0,0,12,12,0,1,10,0,202012
134,18.06537191,אבני איתן,4011,מועצה אזורית,צפון,גולן,5571,20356.14643,18065371.91,0.332127123,6,8,0,2,6,3,4,0,0,10,10,1,1,6,1,202012
135,25.41590702,אודם,4010,מועצה אזורית,צפון,גולן,5571,24095.27093,25415907.02,1.455781215,37,78,2,6,70,17,53,8,1,49,49,1,2,35,2,202012
136,36.92843652,אורטל,4013,מועצה אזורית,צפון,גולן,5571,26332.4092,36928436.52,0.460349844,17,27,1,1,25,2,23,2,0,21,21,0,2,13,2,202012
137,45.89190329,אל רום,4003,מועצה אזורית,צפון,גולן,5571,35604.69049,45891903.29,0.871613447,40,73,2,8,63,14,57,2,0,60,60,0,1,41,4,202012
138,11.32709353,אלי על,4002,מועצה אזורית,צפון,גולן,5571,16156.01155,11327093.53,0.529703404,6,14,0,0,14,0,14,0,0,11,11,0,0,8,0,202012
139,57.1735605,אניעם,4012,מועצה אזורית,צפון,גולן,5571,30787.17816,57173560.5,0.437265054,25,42,0,0,42,6,34,2,0,38,38,0,0,25,0,202012
140,1.553386425,אפיק,4301,מועצה אזורית,צפון,גולן,5571,6986.435939,1553386.425,1.287509642,2,5,0,0,5,3,2,0,0,5,5,0,0,5,0,202012
141,10.62362442,גבעת יואב,4021,מועצה אזורית,צפון,גולן,5571,19477.57085,10623624.42,2.729765177,29,53,1,1,51,12,38,3,3,40,40,0,3,30,2,202012
142,19.50829688,גשור,4022,מועצה אזורית,צפון,גולן,5571,20887.21204,19508296.88,0.102520482,2,2,0,1,1,0,2,0,0,2,2,0,0,2,0,202012
143,67.62524192,חד נס,4026,מועצה אזורית,צפון,גולן,5571,42818.01839,67625241.92,0.902030045,61,123,0,5,118,20,94,9,1,100,100,1,2,72,0,202012
144,7.185280322,חספין,4005,מועצה אזורית,צפון,גולן,5571,15511.56448,7185280.322,1.67008098,12,35,2,4,29,9,22,4,1,17,17,0,1,11,0,202012
145,57.47125645,יונתן,4007,מועצה אזורית,צפון,גולן,5571,30723.44535,57471256.45,0.156600022,9,14,0,2,12,3,9,1,1,10,10,0,0,6,0,202012
146,22.37341832,כפר חרוב,4004,מועצה אזורית,צפון,גולן,5571,23871.94078,22373418.32,0.223479485,5,9,0,0,9,1,6,1,0,6,6,1,1,2,0,202012
147,26.79848484,מבוא חמה,4204,מועצה אזורית,צפון,גולן,5571,25066.53232,26798484.84,0.29852434,8,13,0,1,12,0,9,2,0,13,13,0,2,7,0,202012
148,23.80500966,מיצר,4019,מועצה אזורית,צפון,גולן,5571,19806.52736,23805009.66,0.210039822,5,7,0,0,7,2,4,1,0,9,9,0,0,6,0,202012
149,77.35876306,מעלה גמלא,4008,מועצה אזורית,צפון,גולן,5571,43916.38547,77358763.06,1.07292305,83,181,0,10,171,39,125,15,1,143,143,0,8,93,7,202012
150,48.66866835,מרום גולן,4101,מועצה אזורית,צפון,גולן,5571,31413.8748,48668668.35,0.698601403,34,88,0,7,81,28,54,1,0,47,47,0,1,28,2,202012
151,18.35351292,נאות גולן,4551,מועצה אזורית,צפון,גולן,5571,25888.37619,18353512.92,0.217941928,4,8,0,3,5,0,2,6,0,7,7,1,0,4,0,202012
152,11.73851542,נוב,4304,מועצה אזורית,צפון,גולן,5571,16657.18775,11738515.42,0.085189648,1,2,0,0,2,1,1,0,0,2,2,0,0,1,0,202012
